scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,100,2.0,0,ProDAG,0.06252769595733973,48.874,0.026121097606258907,0.74125,3529.521023750305
ER_p25_s40,25,40,100,2.0,1,ProDAG,0.0628335503680372,48.403,0.023662846686040823,0.6929017857142857,3746.0357241630554
ER_p25_s40,25,40,100,2.0,2,ProDAG,0.06286314341732625,49.726,0.026029310258387034,0.5611607142857142,2044.962586402893
ER_p25_s40,25,40,100,2.0,3,ProDAG,0.06474192191989595,43.236,0.015599994362834602,0.6586160714285715,2368.0100407600403
ER_p25_s40,25,40,100,2.0,4,ProDAG,0.06666666666666667,40.0,0.0,0.5,2014.3709607124329
