scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,10,1.0,0,DDS,0.10025194961232747,173.562,0.10780569062389093,0.5473214285714286,58.16838312149048
ER_p25_s40,25,40,10,1.0,1,DDS,0.10030495509573148,173.823,0.10758322936469492,0.5266741071428571,9.045618534088135
ER_p25_s40,25,40,10,1.0,2,DDS,0.1000958917578499,174.047,0.1084966747660323,0.5414732142857143,9.019272327423096
ER_p25_s40,25,40,10,1.0,3,DDS,0.10195503496060415,174.607,0.10113015970714812,0.421875,9.186614274978638
ER_p25_s40,25,40,10,1.0,4,DDS,0.10337835175421084,177.263,0.10432662807902096,0.46732142857142855,9.081903457641602
