scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,10,1.0,0,ProDAG,0.06512180837388434,46.622,0.021155676265605848,0.5122321428571428,1859.848834514618
ER_p25_s40,25,40,10,1.0,1,ProDAG,0.06473650856341794,49.637,0.02876699633383162,0.5546428571428571,1625.1596238613129
ER_p25_s40,25,40,10,1.0,2,ProDAG,0.06666666666666667,40.0,0.0,0.5,591.2921059131622
ER_p25_s40,25,40,10,1.0,3,ProDAG,0.06503308863402404,47.342,0.02292813096272484,0.5156696428571429,1796.7317180633545
ER_p25_s40,25,40,10,1.0,4,ProDAG,0.06666666666666667,40.0,0.0,0.5,1168.383064031601
