scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,1000,3.0,0,SVI-DAG (noninformative),0.044728193378634706,40.26,0.386033927146811,0.8556026785714286,516.6587574481964
ER_p25_s40,25,40,1000,3.0,1,SVI-DAG (noninformative),0.05253341179565608,46.047,0.3138902778593275,0.85203125,71.06746768951416
ER_p25_s40,25,40,1000,3.0,2,SVI-DAG (noninformative),0.04548547668179938,41.196,0.38513349981012973,0.87671875,74.44492673873901
ER_p25_s40,25,40,1000,3.0,3,SVI-DAG (noninformative),0.04845647680572109,45.734,0.3687856370111734,0.8704464285714286,71.51241827011108
ER_p25_s40,25,40,1000,3.0,4,SVI-DAG (noninformative),0.04748329992424345,41.62,0.3502593947411375,0.7808482142857143,82.67739391326904
