scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,1000,3.0,0,DDS,0.054407639913365766,53.976,0.27494150741423357,0.7232142857142857,52.42905378341675
ER_p25_s40,25,40,1000,3.0,1,DDS,0.045702978498060286,50.309,0.3149311494965176,0.8625,42.214061975479126
ER_p25_s40,25,40,1000,3.0,2,DDS,0.04606725812367744,48.237,0.34259276034633185,0.79859375,43.145116567611694
ER_p25_s40,25,40,1000,3.0,3,DDS,0.04962795513067403,54.061,0.2983463377746668,0.8824553571428572,41.93668007850647
ER_p25_s40,25,40,1000,3.0,4,DDS,0.04781494659856368,50.178,0.30305855737178,0.8612276785714286,44.17102599143982
