scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,316,2.5,0,DiBS,0.04619166670838992,46.9,0.28828909994337154,0.8560491071428571,104.49982595443726
ER_p25_s40,25,40,316,2.5,1,DiBS,0.050654166674986484,52.65,0.23557266497505755,0.8221205357142857,94.73147964477539
ER_p25_s40,25,40,316,2.5,2,DiBS,0.04872083333556851,46.95,0.25725783626629256,0.8175669642857143,94.63209819793701
ER_p25_s40,25,40,316,2.5,3,DiBS,0.04456666661029061,49.8,0.29841346002079183,0.9298214285714286,94.74980187416077
ER_p25_s40,25,40,316,2.5,4,DiBS,0.04898749992201726,48.85,0.25916672681265673,0.8570089285714285,94.83465147018433
