scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,100,2.0,0,DiBS,0.053445833380768706,53.85,0.21888416764414528,0.8277901785714286,45.68724703788757
ER_p25_s40,25,40,100,2.0,1,DiBS,0.052962499961008644,51.75,0.22934908754549432,0.7847991071428572,35.868528842926025
ER_p25_s40,25,40,100,2.0,2,DiBS,0.054320833290119976,51.95,0.20607870838208306,0.74765625,35.87556076049805
ER_p25_s40,25,40,100,2.0,3,DiBS,0.05480833334128062,51.5,0.21152001840714582,0.7436160714285714,35.94094967842102
ER_p25_s40,25,40,100,2.0,4,DiBS,0.053779166643321524,52.95,0.20979425721481568,0.7677008928571428,36.113412380218506
