scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,1000,3.0,0,BayesDAG,0.04970269164427106,45.609,0.3644036690152007,0.8066294642857142,499.8736038208008
ER_p25_s40,25,40,1000,3.0,1,BayesDAG,0.06351471974987877,53.414,0.2882685015241216,0.8203348214285714,347.96074318885803
ER_p25_s40,25,40,1000,3.0,2,BayesDAG,0.04143255325984465,40.196,0.4411882827459169,0.8447544642857143,331.15666103363037
ER_p25_s40,25,40,1000,3.0,3,BayesDAG,0.03686985666044193,42.428,0.48115980372775824,0.89640625,313.7717180252075
ER_p25_s40,25,40,1000,3.0,4,BayesDAG,0.05820991668406675,51.778,0.3118440818717477,0.7366517857142857,301.23328471183777
