scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,316,2.5,0,ProDAG,0.060249715104415506,48.371,0.15804464596240286,0.7135714285714285,1010.1223294734955
ER_p25_s40,25,40,316,2.5,1,ProDAG,0.05959000586091006,50.562,0.24686131116805507,0.7400446428571429,1099.6699113845825
ER_p25_s40,25,40,316,2.5,2,ProDAG,0.05912036243645499,50.28,0.18100032513867131,0.7862053571428571,1051.1479980945587
ER_p25_s40,25,40,316,2.5,3,ProDAG,0.06411209526692478,54.286,0.18772211218959167,0.6241517857142858,1029.9407176971436
ER_p25_s40,25,40,316,2.5,4,ProDAG,0.062177446702372095,51.812,0.20264493974839862,0.6005357142857143,1162.3945090770721
