scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,10,1.0,0,BayesDAG,0.06651561666262315,40.484,0.002202940187058168,0.5390848214285714,156.98858070373535
ER_p25_s40,25,40,10,1.0,1,BayesDAG,0.06647322832533806,40.619,0.0028180057249602743,0.5415178571428572,89.18773317337036
ER_p25_s40,25,40,10,1.0,2,BayesDAG,0.06641222499520512,40.769,0.0037023994556387467,0.5811160714285715,88.41747641563416
ER_p25_s40,25,40,10,1.0,3,BayesDAG,0.0660711799982312,41.596,0.008840195533402847,0.5075223214285715,87.96295142173767
ER_p25_s40,25,40,10,1.0,4,BayesDAG,0.0663689833238075,40.796,0.004333556208712193,0.6398214285714285,88.69781231880188
