scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,100,2.0,0,BayesDAG,0.0614227673516935,83.605,0.07342916664911094,0.6378056768558952,200.63982248306274
ER_p50_s80,50,80,100,2.0,1,BayesDAG,0.06100000244029326,85.409,0.10193024267572187,0.564203056768559,107.47788071632385
ER_p50_s80,50,80,100,2.0,2,BayesDAG,0.06295494856534577,84.168,0.04800023900769668,0.6037227074235808,106.25440168380737
ER_p50_s80,50,80,100,2.0,3,BayesDAG,0.05731205140280522,86.432,0.16992234499008702,0.6289737991266375,107.08763766288757
ER_p50_s80,50,80,100,2.0,4,BayesDAG,0.055218604043271155,83.86,0.2158530598579619,0.6537772925764193,106.92417311668396
