scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,32,1.5,0,SVI-DAG (noninformative),0.05907343591415061,215.016,0.15393916424930762,0.7610971615720524,1125.0114150047302
ER_p50_s80,50,80,32,1.5,1,SVI-DAG (noninformative),0.05928334448382797,215.495,0.15300568441486237,0.7082969432314411,181.01243019104004
ER_p50_s80,50,80,32,1.5,2,SVI-DAG (noninformative),0.056103128907726604,218.797,0.1704021940576536,0.7769814410480349,178.94312381744385
ER_p50_s80,50,80,32,1.5,3,SVI-DAG (noninformative),0.05819923837526858,221.05,0.16059707560682138,0.7797816593886463,179.32157063484192
ER_p50_s80,50,80,32,1.5,4,SVI-DAG (noninformative),0.05709719349682857,214.668,0.15741279226102067,0.7775436681222707,178.09019684791565
