scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,32,1.5,0,ProDAG,0.058681715221502694,80.059,0.0947104762583989,0.8597707423580786,1482.769352197647
ER_p50_s80,50,80,32,1.5,1,ProDAG,0.0587446139972331,81.062,0.10755212702776609,0.8168777292576419,1459.5701124668121
ER_p50_s80,50,80,32,1.5,2,ProDAG,0.06019495810180216,83.233,0.07823235627335202,0.8227292576419214,1458.240403175354
ER_p50_s80,50,80,32,1.5,3,ProDAG,0.05867748224533849,82.376,0.10843668681149163,0.8171397379912664,1509.0681366920471
ER_p50_s80,50,80,32,1.5,4,ProDAG,0.058495880379345604,81.893,0.11003159869595247,0.8069432314410481,1474.5609993934631
