scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10000,4.0,0,SVI-DAG (noninformative),0.02604292085411598,125.172,0.6222472329820061,0.9942248908296943,1465.735971212387
ER_p50_s80,50,80,10000,4.0,1,SVI-DAG (noninformative),0.022717920806911988,117.078,0.6550187425306279,0.9955458515283843,235.42287278175354
ER_p50_s80,50,80,10000,4.0,2,SVI-DAG (noninformative),0.02411688834786804,121.04,0.6421998254430513,0.9959552401746725,227.89596009254456
ER_p50_s80,50,80,10000,4.0,3,SVI-DAG (noninformative),0.05906471263467589,163.216,0.38208330796411916,0.799896288209607,224.9102544784546
ER_p50_s80,50,80,10000,4.0,4,SVI-DAG (noninformative),0.02151601150806658,112.71,0.6656036505265688,0.9984606986899563,221.9989836215973
