scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,316,2.5,0,SVI-DAG (noninformative),0.02285220161079158,64.356,0.7528759944742995,0.9757532751091703,1686.8545389175415
ER_p50_s80,50,80,316,2.5,1,SVI-DAG (noninformative),0.021277210588188253,70.244,0.7729853316771828,0.9821834061135372,223.27350044250488
ER_p50_s80,50,80,316,2.5,2,SVI-DAG (noninformative),0.023537057079598526,67.893,0.7471863152600553,0.9829912663755459,221.4590241909027
ER_p50_s80,50,80,316,2.5,3,SVI-DAG (noninformative),0.023617995187523503,64.911,0.7540173161482817,0.9882478165938865,221.05394458770752
ER_p50_s80,50,80,316,2.5,4,SVI-DAG (noninformative),0.022438613855506287,69.486,0.7642389694532163,0.9764519650655021,221.61968660354614
