scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,100,2.0,0,DDS,0.06829495286175323,378.287,0.17670691257505672,0.8709770742358078,44.50953698158264
ER_p50_s80,50,80,100,2.0,1,DDS,0.06774056658579848,377.684,0.17560587616135448,0.8395851528384279,37.40223932266235
ER_p50_s80,50,80,100,2.0,2,DDS,0.06476625609432321,372.483,0.18887093166779909,0.8979748908296943,37.78389239311218
ER_p50_s80,50,80,100,2.0,3,DDS,0.06443818422987192,374.695,0.18640156632036542,0.9093231441048035,36.97520565986633
ER_p50_s80,50,80,100,2.0,4,DDS,0.06557054198282479,385.516,0.19223626804427987,0.9044323144104803,38.01387643814087
