scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10,1.0,0,BayesDAG,0.06489484815556139,84.347,0.006434397666163225,0.4890065502183406,293.3162627220154
ER_p50_s80,50,80,10,1.0,1,BayesDAG,0.06491462284986362,84.144,0.006511736141747283,0.4819814410480349,169.13729667663574
ER_p50_s80,50,80,10,1.0,2,BayesDAG,0.0649144791765258,84.273,0.006230018652535399,0.4821561135371179,162.57168412208557
ER_p50_s80,50,80,10,1.0,3,BayesDAG,0.0648070963202985,84.88,0.008359051264982811,0.4531495633187773,156.63110446929932
ER_p50_s80,50,80,10,1.0,4,BayesDAG,0.06483382530300022,85.254,0.007899360828549869,0.4810043668122271,168.84182143211365
