scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10,1.0,0,SVI-DAG (noninformative),0.06584495674836444,92.306,0.02066241825819497,0.5166048034934497,1577.8386089801788
ER_p50_s80,50,80,10,1.0,1,SVI-DAG (noninformative),0.06576241629892635,91.368,0.015389015295665625,0.5465829694323144,248.37263417243958
ER_p50_s80,50,80,10,1.0,2,SVI-DAG (noninformative),0.0660289355217023,91.44,0.010690364485413007,0.5484825327510917,246.96613383293152
ER_p50_s80,50,80,10,1.0,3,SVI-DAG (noninformative),0.06686915427968622,92.264,0.0003657445923102583,0.4703329694323144,242.97583508491516
ER_p50_s80,50,80,10,1.0,4,SVI-DAG (noninformative),0.06528265060237988,90.7,0.021343278633307122,0.5087281659388646,228.16270852088928
