scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,100,2.0,0,SVI-DAG (noninformative),0.039444058031408914,81.834,0.5274204781084615,0.9024072052401747,1831.3633606433868
ER_p50_s80,50,80,100,2.0,1,SVI-DAG (noninformative),0.04330551832317452,87.641,0.4470235086698997,0.8694268558951965,249.85387516021729
ER_p50_s80,50,80,100,2.0,2,SVI-DAG (noninformative),0.036646768109566345,84.52,0.5561248212785199,0.9308951965065502,247.13631510734558
ER_p50_s80,50,80,100,2.0,3,SVI-DAG (noninformative),0.03777370934930288,81.89,0.5442681224199678,0.9281768558951965,246.99697279930115
ER_p50_s80,50,80,100,2.0,4,SVI-DAG (noninformative),0.03602550926965611,81.05,0.5942630645276883,0.9402456331877729,246.46245336532593
