scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10,1.0,0,ProDAG,0.0653061224489796,80.0,0.0,0.5,2198.424296140671
ER_p50_s80,50,80,10,1.0,1,ProDAG,0.0653061224489796,80.0,0.0,0.5,1670.217411994934
ER_p50_s80,50,80,10,1.0,2,ProDAG,0.0653061224489796,80.0,0.0,0.5,2095.3909680843353
ER_p50_s80,50,80,10,1.0,3,ProDAG,0.06435263224429799,86.327,0.013684145912120303,0.6063973799126637,1668.6419060230255
ER_p50_s80,50,80,10,1.0,4,ProDAG,0.0653061224489796,80.0,0.0,0.5,1764.843204498291
