scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,3162,3.5,0,SVI-DAG (noninformative),0.019096386873792056,110.685,0.6491704847261437,0.999825327510917,1444.8087494373322
ER_p50_s80,50,80,3162,3.5,1,SVI-DAG (noninformative),0.02124475524288828,115.135,0.6433868297486108,0.9985152838427948,237.23837089538574
ER_p50_s80,50,80,3162,3.5,2,SVI-DAG (noninformative),0.021577220426301984,114.974,0.6388303840963951,0.9966703056768559,227.70124220848083
ER_p50_s80,50,80,3162,3.5,3,SVI-DAG (noninformative),0.02182250545163556,116.473,0.6306185176647648,0.9975764192139738,227.2428741455078
ER_p50_s80,50,80,3162,3.5,4,SVI-DAG (noninformative),0.01890274282720425,103.474,0.6740703358624013,0.9994323144104803,221.51444482803345
