scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10,1.0,0,BCD Nets,0.06400239616467224,173.711,0.07125048176110375,0.46256550218340614,841.4094326496124
ER_p50_s80,50,80,10,1.0,1,BCD Nets,0.06401754486701666,175.632,0.0713363996543402,0.5128165938864628,836.5394585132599
ER_p50_s80,50,80,10,1.0,2,BCD Nets,0.06386438865339927,172.881,0.07240689944527981,0.5228275109170306,838.1417031288147
ER_p50_s80,50,80,10,1.0,3,BCD Nets,0.06396629894827253,172.828,0.07138728585739168,0.47253275109170306,839.3319971561432
ER_p50_s80,50,80,10,1.0,4,BCD Nets,0.0640371725846748,174.766,0.07018462957577644,0.49540393013100437,837.7255296707153
