scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,1000,3.0,0,DiBS,0.07779999992450079,35.25,0.536942556813703,0.8971153846153846,19.534916162490845
ER_p25_s40,25,40,1000,3.0,1,DiBS,0.0773249996483326,36.8,0.519366443253129,0.9045192307692308,10.585114002227783
ER_p25_s40,25,40,1000,3.0,2,DiBS,0.07475833304549258,36.0,0.5322218751958221,0.9442788461538462,11.07182240486145
ER_p25_s40,25,40,1000,3.0,3,DiBS,0.07228333282396199,33.2,0.5559643315451552,0.9376442307692308,10.716251134872437
ER_p25_s40,25,40,1000,3.0,4,DiBS,0.07404999972209335,36.6,0.5147350001733585,0.9189423076923077,10.721840143203735
