scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,100,2.0,0,SVI-DAG (noninformative),0.05335815038588155,39.997,0.6875780523525155,0.9549519230769231,586.313404083252
ER_p25_s40,25,40,100,2.0,1,SVI-DAG (noninformative),0.05409881313565842,39.216,0.6868874302517386,0.9266826923076923,179.14288425445557
ER_p25_s40,25,40,100,2.0,2,SVI-DAG (noninformative),0.06333959341903928,43.893,0.6351128873894396,0.8888942307692308,181.2856147289276
ER_p25_s40,25,40,100,2.0,3,SVI-DAG (noninformative),0.0497348073091375,36.273,0.7147439131561657,0.9521153846153846,182.79178953170776
ER_p25_s40,25,40,100,2.0,4,SVI-DAG (noninformative),0.052411123237794024,42.078,0.6838994036431163,0.9518269230769231,179.24732518196106
