scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,3162,3.5,0,SVI-DAG (noninformative),0.037712363739512846,40.386,0.7412891267132309,0.9954807692307692,613.511961221695
ER_p25_s40,25,40,3162,3.5,1,SVI-DAG (noninformative),0.03800014643547982,46.584,0.718852334447132,0.9933653846153846,97.00118517875671
ER_p25_s40,25,40,3162,3.5,2,SVI-DAG (noninformative),0.03609219661680283,43.237,0.7409775605564869,0.994423076923077,90.64839768409729
ER_p25_s40,25,40,3162,3.5,3,SVI-DAG (noninformative),0.04090235670228937,49.272,0.7116988403209097,0.9911057692307692,91.90813112258911
ER_p25_s40,25,40,3162,3.5,4,SVI-DAG (noninformative),0.04198873672899264,49.321,0.7204785556642657,0.9959615384615385,91.22580885887146
