scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,10000,4.0,0,ProDAG,0.08017581673361962,37.513,0.44211680381219426,0.9477884615384615,194.65252089500427
ER_p25_s40,25,40,10000,4.0,1,ProDAG,0.06717303463248565,35.457,0.5538098412262912,0.984423076923077,194.3020567893982
ER_p25_s40,25,40,10000,4.0,2,ProDAG,0.07622695531464381,37.753,0.48204349576461686,0.9908653846153846,185.34508776664734
ER_p25_s40,25,40,10000,4.0,3,ProDAG,0.05786309611374221,33.285,0.6401017709765895,0.9984615384615385,200.34936928749084
ER_p25_s40,25,40,10000,4.0,4,ProDAG,0.07071289854982053,32.92,0.5908366864109534,0.9918269230769231,196.09168672561646
