scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,3162,3.5,0,BCD Nets,0.06981714379973819,37.597,0.5174198179703354,0.9511538461538461,396.3210093975067
ER_p25_s40,25,40,3162,3.5,1,BCD Nets,0.08412061275182287,43.906,0.3451504828320388,0.9044230769230769,304.96368312835693
ER_p25_s40,25,40,3162,3.5,2,BCD Nets,0.07668505625855568,39.603,0.43494394755718424,0.953173076923077,313.7900855541229
ER_p25_s40,25,40,3162,3.5,3,BCD Nets,0.07141617800768023,42.212,0.4977488629037751,0.9358653846153846,353.75752115249634
ER_p25_s40,25,40,3162,3.5,4,BCD Nets,0.0656220616712288,41.156,0.56868254340402,0.9382692307692307,292.20266938209534
