scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,32,1.5,0,SVI-DAG (noninformative),0.1009973334848732,51.222,0.3456997061847168,0.8177884615384615,491.94987893104553
ER_p25_s40,25,40,32,1.5,1,SVI-DAG (noninformative),0.09689673647983528,51.069,0.3808289248484019,0.7681730769230769,118.75647163391113
ER_p25_s40,25,40,32,1.5,2,SVI-DAG (noninformative),0.11011371661844895,52.981,0.32499603920234255,0.6964423076923076,124.34313035011292
ER_p25_s40,25,40,32,1.5,3,SVI-DAG (noninformative),0.0948204935484195,51.551,0.4072022341382862,0.7962019230769231,121.95411276817322
ER_p25_s40,25,40,32,1.5,4,SVI-DAG (noninformative),0.0888914699581277,49.295,0.4298340507936581,0.8301442307692307,123.78697347640991
