scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,32,1.5,0,BCD Nets,0.11574998098756431,71.515,0.1290934752384792,0.5100961538461538,167.61427235603333
ER_p25_s40,25,40,32,1.5,1,BCD Nets,0.11421037870771104,65.702,0.12490329724207089,0.5030769230769231,156.87570190429688
ER_p25_s40,25,40,32,1.5,2,BCD Nets,0.11561647934556783,70.424,0.1264284824270292,0.5479807692307692,155.8773603439331
ER_p25_s40,25,40,32,1.5,3,BCD Nets,0.11606069667966437,70.753,0.1298336453962126,0.47701923076923075,156.14262104034424
ER_p25_s40,25,40,32,1.5,4,BCD Nets,0.11539867013639375,69.584,0.12603860412653253,0.5472115384615385,156.4378981590271
