scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,3162,3.5,0,DiBS,0.07772499966522059,36.1,0.5463506091461257,0.9441826923076924,19.055562257766724
ER_p25_s40,25,40,3162,3.5,1,DiBS,0.07992499975686272,38.2,0.5437002717365558,0.9448076923076923,12.079243421554565
ER_p25_s40,25,40,3162,3.5,2,DiBS,0.08494166663015883,36.3,0.49527393330561303,0.8773557692307692,10.955021858215332
ER_p25_s40,25,40,3162,3.5,3,DiBS,0.08030833292156458,34.5,0.559740340026088,0.9398557692307692,10.980852842330933
ER_p25_s40,25,40,3162,3.5,4,DiBS,0.06308333279564977,34.65,0.6405781519130839,0.9732692307692308,10.820832252502441
