scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,10,1.0,0,ProDAG,0.13333333333333333,40.0,0.0,0.5,313.04773902893066
ER_p25_s40,25,40,10,1.0,1,ProDAG,0.12745726745647834,43.92,0.04243804196821354,0.6563461538461538,307.0067627429962
ER_p25_s40,25,40,10,1.0,2,ProDAG,0.13333333333333333,40.0,0.0,0.5,311.6201367378235
ER_p25_s40,25,40,10,1.0,3,ProDAG,0.13333333333333333,40.0,0.0,0.5,307.07657861709595
ER_p25_s40,25,40,10,1.0,4,ProDAG,0.13333333333333333,40.0,0.0,0.5,307.93222308158875
