scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,316,2.5,0,ProDAG,0.05975954246683453,33.344,0.6406931169156955,0.9933653846153846,229.28560757637024
ER_p25_s40,25,40,316,2.5,1,ProDAG,0.07010701282024127,35.545,0.5744275821757535,0.9885576923076923,217.33820223808289
ER_p25_s40,25,40,316,2.5,2,ProDAG,0.08350925672504551,37.914,0.4425965529685999,0.9644230769230769,200.0579252243042
ER_p25_s40,25,40,316,2.5,3,ProDAG,0.06143876284168843,31.781,0.6501714820954555,0.9972115384615384,212.19183325767517
ER_p25_s40,25,40,316,2.5,4,ProDAG,0.06823694087922418,36.107,0.5777044890076756,0.9880769230769231,208.14478826522827
