scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p25_s40,25,40,316,2.5,0,BCD Nets,0.09599723055161516,43.136,0.28407197898448694,0.8373076923076923,313.33497738838196
ER_p25_s40,25,40,316,2.5,1,BCD Nets,0.07792150274334717,40.947,0.479612517831279,0.8985576923076923,288.35782074928284
ER_p25_s40,25,40,316,2.5,2,BCD Nets,0.08906622062486717,44.295,0.37846204187054855,0.8896153846153846,296.0220365524292
ER_p25_s40,25,40,316,2.5,3,BCD Nets,0.07333436270144178,43.048,0.4910232729233677,0.9498076923076924,277.2157344818115
ER_p25_s40,25,40,316,2.5,4,BCD Nets,0.0899113313208623,45.046,0.37463549541763846,0.8704807692307692,286.15494203567505
