scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10,1.0,0,SVI-DAG (noninformative),0.03576136201021407,104.935,0.015609995535055408,0.5231777426160338,1691.3661785125732
ER_p50_s80,50,80,10,1.0,1,SVI-DAG (noninformative),0.03516371469031773,101.083,0.0037171426369580376,0.49136075949367086,249.53691267967224
ER_p50_s80,50,80,10,1.0,2,SVI-DAG (noninformative),0.03522785754808004,102.027,0.013075040679341942,0.5049630801687763,249.1247844696045
ER_p50_s80,50,80,10,1.0,3,SVI-DAG (noninformative),0.034627073889491815,99.995,0.023326800691693503,0.5437315400843882,247.7771611213684
ER_p50_s80,50,80,10,1.0,4,SVI-DAG (noninformative),0.03496359346022811,101.078,0.01072570609087941,0.5113502109704642,247.87512159347534
