scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,3162,3.5,0,BCD Nets,0.02990651955106153,86.641,0.09999921259150421,0.6335495780590717,877.4499459266663
ER_p50_s80,50,80,3162,3.5,1,BCD Nets,0.029516447846944092,84.107,0.09891879577271975,0.7300263713080168,959.2253749370575
ER_p50_s80,50,80,3162,3.5,2,BCD Nets,0.02892569608512419,85.783,0.14518422452528448,0.7115611814345991,867.0854480266571
ER_p50_s80,50,80,3162,3.5,3,BCD Nets,0.027300337256138008,80.83,0.12206232795131328,0.7827215189873418,898.8482484817505
ER_p50_s80,50,80,3162,3.5,4,BCD Nets,0.029347016406737435,86.904,0.11841607543992702,0.6874683544303798,1097.7386121749878
