scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,3162,3.5,0,DiBS,0.023119387716085328,94.35,0.2916349362855141,0.916706223628692,3950.647091150284
ER_p50_s80,50,80,3162,3.5,1,DiBS,0.025079591741945066,91.2,0.2596771154855918,0.8872389240506329,3939.7351853847504
ER_p50_s80,50,80,3162,3.5,2,DiBS,0.022814285704797634,90.8,0.30627416593951673,0.905912447257384,3939.709611415863
ER_p50_s80,50,80,3162,3.5,3,DiBS,0.023800000008332493,97.2,0.28613495702890906,0.8851318565400844,3939.4154958724976
ER_p50_s80,50,80,3162,3.5,4,DiBS,0.02351938769501083,92.35,0.2830775085373301,0.9229773206751055,3938.79611992836
