scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,100,2.0,0,SVI-DAG (noninformative),0.026856998374298273,78.344,0.24044134967367506,0.7234889240506329,1880.2987916469574
ER_p50_s80,50,80,100,2.0,1,SVI-DAG (noninformative),0.029892399978489876,85.23,0.16219540562138146,0.7010759493670886,264.0963981151581
ER_p50_s80,50,80,100,2.0,2,SVI-DAG (noninformative),0.028105093066471833,82.954,0.22564340641143082,0.7085179324894515,265.83394050598145
ER_p50_s80,50,80,100,2.0,3,SVI-DAG (noninformative),0.030675779150796632,89.575,0.1640394476749107,0.6644963080168776,257.1675035953522
ER_p50_s80,50,80,100,2.0,4,SVI-DAG (noninformative),0.028658264111763584,79.737,0.19694039311510544,0.6798154008438818,253.12812781333923
