scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,316,2.5,0,SVI-DAG (noninformative),0.025185489821788386,80.662,0.3200148544832004,0.7884836497890295,1868.5673620700836
ER_p50_s80,50,80,316,2.5,1,SVI-DAG (noninformative),0.024421104495959287,77.93,0.33915915992593143,0.7841455696202532,382.720547914505
ER_p50_s80,50,80,316,2.5,2,SVI-DAG (noninformative),0.02476119344032698,79.804,0.3174727191080341,0.8334810126582278,375.1616816520691
ER_p50_s80,50,80,316,2.5,3,SVI-DAG (noninformative),0.024763240064640035,78.106,0.31422814872051036,0.8157331223628692,350.46606397628784
ER_p50_s80,50,80,316,2.5,4,SVI-DAG (noninformative),0.025001630919551293,80.538,0.34212044761675475,0.8081830168776372,282.5924198627472
