scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,3162,3.5,0,SVI-DAG (noninformative),0.01988947549653605,131.295,0.3187492540195269,0.9600922995780591,1378.2034394741058
ER_p50_s80,50,80,3162,3.5,1,SVI-DAG (noninformative),0.023377578799484138,135.67,0.26095280896922624,0.9335416666666667,217.24240827560425
ER_p50_s80,50,80,3162,3.5,2,SVI-DAG (noninformative),0.023323576711564518,137.411,0.2784216661358644,0.8955880801687763,213.87127375602722
ER_p50_s80,50,80,3162,3.5,3,SVI-DAG (noninformative),0.02596198207568536,150.904,0.2503847337782626,0.9247072784810126,215.2635679244995
ER_p50_s80,50,80,3162,3.5,4,SVI-DAG (noninformative),0.023975744572965425,139.91,0.2648602403549955,0.9240849156118144,212.33862257003784
