scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,32,1.5,0,BayesDAG,0.03211496571613845,84.162,0.02208208768340604,0.5583808016877637,238.41834425926208
ER_p50_s80,50,80,32,1.5,1,BayesDAG,0.03268126734891583,85.017,0.0057227986563366095,0.507457805907173,110.98265933990479
ER_p50_s80,50,80,32,1.5,2,BayesDAG,0.0324220126512132,84.137,0.0075351081554876215,0.5109836497890295,110.01401829719543
ER_p50_s80,50,80,32,1.5,3,BayesDAG,0.03249021346929228,85.043,0.005125092989413525,0.519417194092827,114.080237865448
ER_p50_s80,50,80,32,1.5,4,BayesDAG,0.03270635958735698,85.067,0.012358487795563646,0.5324894514767933,108.62240815162659
