scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,32,1.5,0,DDS,0.06515953755018611,543.777,0.06044714098658535,0.5325685654008439,25.31426215171814
ER_p50_s80,50,80,32,1.5,1,DDS,0.06553030410943181,547.393,0.06501328627415387,0.5919699367088608,19.937971830368042
ER_p50_s80,50,80,32,1.5,2,DDS,0.06591202882491849,544.499,0.05749073151459092,0.505076476793249,21.070563793182373
ER_p50_s80,50,80,32,1.5,3,DDS,0.06612030763434239,548.316,0.05763198484664548,0.5139240506329114,19.720117807388306
ER_p50_s80,50,80,32,1.5,4,DDS,0.06424330484528747,542.137,0.06613227626766154,0.6108069620253165,20.482198238372803
