scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,1000,3.0,0,ProDAG,0.029843759636015,135.38,0.07594468735893063,0.7583386075949367,6903.12463259697
ER_p50_s80,50,80,1000,3.0,1,ProDAG,0.029160278947756954,100.015,0.0795108401752914,0.7471782700421941,7171.289040088654
ER_p50_s80,50,80,1000,3.0,2,ProDAG,0.027114984210795154,82.159,0.183887074322225,0.7848259493670886,7622.119507789612
ER_p50_s80,50,80,1000,3.0,3,ProDAG,0.028586379807265406,96.32,0.1132642718390606,0.7511075949367089,7063.393061161041
ER_p50_s80,50,80,1000,3.0,4,ProDAG,0.029905141979997243,147.081,0.08600616178509798,0.7104377637130802,7123.90354847908
