scenario,p,s,num_samples,sample_size_log10,replicate,algorithm,Brier,E_SHD,E_F1,AUROC,time_sec
ER_p50_s80,50,80,10,1.0,0,DiBS,0.03186428570203027,86.15,0.03136247350618509,0.5662974683544304,24.54547929763794
ER_p50_s80,50,80,10,1.0,1,DiBS,0.032299999995255964,86.3,0.01683899532003671,0.5281408227848101,12.434409618377686
ER_p50_s80,50,80,10,1.0,2,DiBS,0.032031632651266996,85.05,0.02505224944581849,0.5754298523206751,12.267457962036133
ER_p50_s80,50,80,10,1.0,3,DiBS,0.032189795914900544,85.5,0.02031464106549575,0.5554272151898734,12.406454086303711
ER_p50_s80,50,80,10,1.0,4,DiBS,0.032090816321178356,85.35,0.022679645859962138,0.5498364978902953,12.406071186065674
